date,price,volume
20190213,3615.4888792915,130718427.688794
20190212,3611.7240801937,148887119.1198
20190211,3627.3168132455,130098674.02832
20190210,3637.5633829865,96447858.110445
20190209,3644.2029069805,89044638.00317
20190208,3491.2244846173,299616056.173931
20190207,3399.0188902695,85806279.554456
20190206,3404.3830098859,135542796.974778
20190205,3449.7975607856,75220777.586212
20190204,3444.8757671646,72554088.044853
20190203,3454.1768547746,74410552.341375
20190202,3461.2603196696,83616765.721462
20190201,3444.8977272981,132196494.831686
20190131,3452.5431947417,115715816.857276
20190130,3451.129770189,135413069.227431
20190129,3425.8239158287,140315121.368
20190128,3465.8958471046,205346918.891884
20190127,3570.8132230612,94616853.787615
20190126,3599.4590618433,105402262.511165
20190125,3582.2319754583,105158195.737003
20190124,3580.0670218124,99984316.574742
20190123,3595.2796062847,121983400.074376
20190122,3577.962031911,171547525.179066
20190121,3562.9450851261,114606542.135069
20190120,3633.80785974,165447917.416654
20190119,3699.5883232064,129175692.454361
20190118,3644.7690895869,98135437.673523
20190117,3631.9020765708,148414175.180957
20190116,3634.8941054304,169221054.487179
20190115,3671.6804510738,169128576.170047
20190114,3614.0493552956,188693073.779265
20190113,3615.0593077617,143230958.770921
20190112,3661.234180959,97004723.123269
20190111,3671.5518429986,206540792.563723
20190110,3824.5621466609,385403694.290391
20190109,4036.9642284752,210096309.106437
20190108,4034.0091277791,252887711.319106
20190107,4047.7522733308,172634888.36324
20190106,3907.4312762315,226624924.96698
20190105,3869.5544275015,132729785.89001
20190104,3824.3535678449,158093744.81181
20190103,3867.6949038529,149930434.523722
20190102,3866.848951926,197051951.363485
20190101,3749.4831711081,165254021.230176
20181231,3798.9043217747,195494872.720665
20181230,3828.8764107202,179605276.608594
20181229,3909.2553863658,200520470.246263
20181228,3747.8717234661,307835214.710655
20181227,3762.2029339786,258880559.524343
20181226,3822.2887691025,221282011.602953
20181225,3811.4402863591,326982340.207837
20181224,4155.2968518674,415901993.214438
20181223,4011.2178037595,219520700.743753
20181222,3888.2766094703,223533117.157258
20181221,4002.3961784483,464793200.324397
20181220,3952.645817149,664951482.835005
20181219,3775.5074480171,565382941.63643
20181218,3535.6087586366,304050161.040132
20181217,3366.8295351804,389067768.93339
