ts_code,trade_date,close,open,high,low,pre_close,change,pct_chg,vol,amount
000001.SH,19940113,897.46,889.02,899.14,888.8,888.04,9.42,1.0608,807921.0,1360389.038
000001.SH,19940112,888.04,891.83,900.23,885.88,891.79,-3.75,-0.4205,1274299.0,1275418.429
000001.SH,19940111,891.79,903.54,907.09,884.0,900.3,-8.51,-0.9452,1368500.0,1566664.158
000001.SH,19940110,900.3,891.99,900.3,889.73,879.64,20.66,2.3487,1875951.0,1862660.022
000001.SH,19940107,879.64,875.18,883.99,873.01,869.33,10.31,1.186,1686884.0,1737614.19
000001.SH,19940106,869.33,850.78,869.33,850.78,846.98,22.35,2.6388,1845117.0,1949735.706
000001.SH,19940105,846.98,829.3,847.05,823.1,832.69,14.29,1.7161,894121.0,967102.995
000001.SH,19940104,832.69,835.97,836.97,829.89,833.9,-1.21,-0.1451,652743.0,685044.165
000001.SH,19940103,833.9,837.7,840.65,831.66,833.8,0.1,0.012,1010056.0,1040770.78
000001.SH,19931231,833.8,829.16,834.86,825.46,826.23,7.57,0.9162,697063.0,687526.733
000001.SH,19931230,826.23,819.14,835.21,816.36,821.16,5.07,0.6174,739747.0,802905.958
000001.SH,19931229,821.16,839.56,839.56,820.06,839.57,-18.41,-2.1928,937012.0,1155119.657
000001.SH,19931228,839.57,851.38,854.65,836.17,839.9,-0.33,-0.0393,1438026.0,1933943.948
000001.SH,19931227,839.9,841.49,843.97,837.83,834.39,5.51,0.6604,1004940.0,1156364.505
000001.SH,19931224,834.39,841.66,845.07,828.81,833.77,0.62,0.0744,918481.0,949737.073
000001.SH,19931223,833.77,820.54,839.41,820.54,821.19,12.58,1.5319,1031247.0,1013048.752
000001.SH,19931222,821.19,837.54,852.63,819.68,840.34,-19.15,-2.2788,2060196.0,2844880.041
000001.SH,19931221,840.34,786.82,840.34,778.93,783.79,56.55,7.2149,1239165.0,1368258.693
000001.SH,19931220,783.79,823.77,836.04,750.46,901.7,-117.91,-13.0764,1319581.0,1526089.481
000001.SH,19931217,901.7,884.47,913.33,884.47,908.08,-6.38,-0.7026,902744.0,1138956.346
000001.SH,19931216,908.08,941.43,948.36,908.08,940.61,-32.53,-3.4584,979969.0,1384912.879
000001.SH,19931215,940.61,926.05,940.61,903.82,925.2,15.41,1.6656,988407.0,1239677.687
000001.SH,19931214,925.2,942.01,953.67,914.95,950.77,-25.57,-2.6894,920584.0,1152829.568
000001.SH,19931213,950.77,982.38,982.38,947.83,978.57,-27.8,-2.8409,986699.0,1274016.256
000001.SH,19931210,978.57,986.02,994.48,957.65,984.9,-6.33,-0.6427,1284583.0,1855793.983
000001.SH,19931209,984.9,1016.78,1016.78,969.95,1009.67,-24.77,-2.4533,1246421.0,2004910.11
000001.SH,19931208,1009.67,1044.85,1044.85,1004.02,1022.34,-12.67,-1.2393,2223643.0,3360829.59
000001.SH,19931207,1022.34,1006.7,1022.34,1006.7,995.72,26.62,2.6734,2402835.0,3824018.717
000001.SH,19931206,995.72,986.12,1004.01,979.72,980.67,15.05,1.5347,2062968.0,2847891.391
000001.SH,19931203,980.67,975.65,982.1,970.1,972.8,7.87,0.809,806229.0,1156016.155
000001.SH,19931202,972.8,974.35,980.94,964.43,974.8,-2.0,-0.2052,778228.0,1060103.71
000001.SH,19931201,974.8,993.67,993.74,971.49,984.93,-10.13,-1.0285,1217881.0,1800027.998
000001.SH,19931130,984.93,984.54,990.4,979.08,972.96,11.97,1.2303,1603177.0,2254273.768
000001.SH,19931129,972.96,968.44,974.85,956.34,965.39,7.57,0.7841,1386637.0,1897047.722
000001.SH,19931126,965.39,986.69,1011.76,963.46,986.69,-21.3,-2.1587,1918993.0,2803763.271
000001.SH,19931125,986.69,959.9,992.89,959.9,953.23,33.46,3.5102,2354818.0,3356404.026
000001.SH,19931124,953.23,955.24,963.62,945.43,957.95,-4.72,-0.4927,1893822.0,2704579.636
000001.SH,19931123,957.95,955.82,971.46,949.82,949.77,8.18,0.8613,2135691.0,2876177.076
000001.SH,19931122,949.77,924.67,954.35,898.49,924.67,25.1,2.7145,1884341.0,2476503.732
000001.SH,19931119,924.67,907.41,924.67,904.6,903.07,21.6,2.3918,1620731.0,1951330.109
000001.SH,19931118,903.07,895.69,903.28,892.41,887.65,15.42,1.7372,877493.0,1064898.03
000001.SH,19931117,887.65,881.93,894.96,881.93,880.33,7.32,0.8315,1062975.0,1191454.971
000001.SH,19931116,880.33,890.92,891.43,876.61,890.46,-10.13,-1.1376,1278614.0,1532187.336
000001.SH,19931115,890.46,875.8,893.42,875.8,865.97,24.49,2.828,1354358.0,1650500.026
000001.SH,19931112,865.97,858.2,868.91,858.2,848.27,17.7,2.0866,983109.0,1456374.558
000001.SH,19931111,848.27,836.55,851.44,836.55,833.17,15.1,1.8124,1114973.0,2055609.595
000001.SH,19931110,833.17,848.45,856.77,828.66,846.15,-12.98,-1.534,1169090.0,2198480.162
000001.SH,19931109,846.15,840.89,846.15,834.75,836.99,9.16,1.0944,679881.0,823214.853
000001.SH,19931108,836.99,833.26,836.99,819.09,814.39,22.6,2.7751,818185.0,1062075.597
000001.SH,19931105,814.39,804.26,816.4,803.03,804.26,10.13,1.2595,518531.0,614876.487
000001.SH,19931104,804.26,804.66,806.66,793.32,805.71,-1.45,-0.18,504402.0,697552.888
000001.SH,19931103,805.71,812.63,814.74,804.73,812.67,-6.96,-0.8564,571874.0,728918.287
000001.SH,19931102,812.67,821.85,824.49,810.81,816.71,-4.04,-0.4947,549003.0,836746.019
000001.SH,19931101,816.71,801.86,823.25,801.86,814.82,1.89,0.232,646971.0,1008124.913
000001.SH,19931029,814.82,834.51,834.79,809.8,824.66,-9.84,-1.1932,999240.0,1379399.372
000001.SH,19931028,824.66,779.64,829.1,778.27,778.38,46.28,5.9457,1160734.0,1599118.356
000001.SH,19931027,778.38,787.79,789.41,776.41,783.23,-4.85,-0.6192,901031.0,1728830.357
000001.SH,19931026,783.23,789.25,792.43,781.13,784.97,-1.74,-0.2217,995521.0,1845364.169
000001.SH,19931025,784.97,792.78,797.48,774.54,818.81,-33.84,-4.1328,813707.0,1186694.909
000001.SH,19931022,818.81,827.75,844.5,818.81,832.25,-13.44,-1.6149,1056350.0,2003889.303
000001.SH,19931021,832.25,846.25,846.43,831.87,843.85,-11.6,-1.3747,742611.0,1074852.707
000001.SH,19931020,843.85,843.58,846.78,837.97,839.6,4.25,0.5062,691591.0,768565.448
000001.SH,19931019,839.6,839.2,846.39,836.77,835.25,4.35,0.5208,576583.0,570494.575
000001.SH,19931018,835.25,852.82,852.82,835.25,856.92,-21.67,-2.5288,554465.0,538242.355
000001.SH,19931015,856.92,855.67,862.54,854.97,855.04,1.88,0.2199,268426.0,366012.591
000001.SH,19931014,855.04,858.33,859.48,848.53,859.7,-4.66,-0.542,417466.0,575074.604
000001.SH,19931013,859.7,874.36,879.29,854.79,871.42,-11.72,-1.3449,607545.0,799373.652
000001.SH,19931012,871.42,868.48,875.62,866.85,868.38,3.04,0.3501,554009.0,766727.489
000001.SH,19931011,868.38,872.95,879.68,866.93,874.76,-6.38,-0.7293,635130.0,1026969.788
